"SOLICITUDORIGINAL";"N_ORDEN_DISTRIBU";"SOLICITUD";"FECHA_CREACION_ORDEN";"ORIGEN";"CANCELADO"
"111152474";"118600874";111152474;"16-04-2017 16:00:19";"32644";"No Cancelado"
"111152565";"118600882";111152565;"16-04-2017 16:00:20";"34305";"No Cancelado"
"111151533";"118600542";111151533;"16-04-2017 12:00:18";"24374";"No Cancelado"
"111151905";"118600741";111151905;"16-04-2017 14:00:19";"24440";"No Cancelado"
"111152131";"118600827";111152131;"16-04-2017 15:00:32";"34096";"No Cancelado"
"111151181";"118600389";111151181;"16-04-2017 08:00:20";"24549";"No Cancelado"
"111151135";"118600387";111151135;"16-04-2017 08:00:20";"34160";"No Cancelado"
"111152017";"118600744";111152017;"16-04-2017 14:00:19";"22593";"No Cancelado"
"111151579";"118600528";111151579;"16-04-2017 12:00:18";"21367";"No Cancelado"
"111152085";"118600729";111152085;"16-04-2017 14:00:18";"24549";"No Cancelado"
"111151956";"118600732";111151956;"16-04-2017 14:00:19";"32664";"No Cancelado"
"111151895";"118600683";111151895;"16-04-2017 13:00:47";"32664";"No Cancelado"
"111152246";"118600814";111152246;"16-04-2017 15:00:32";"32664";"No Cancelado"
"111153354";"118601363";111153354;"16-04-2017 18:00:25";"31226";"No Cancelado"
"111153328";"118601378";111153328;"16-04-2017 18:00:25";"32484";"No Cancelado"
"111152929";"118600963";111152929;"16-04-2017 17:00:20";"32644";"No Cancelado"
"111152960";"118600965";111152960;"16-04-2017 17:00:20";"32664";"No Cancelado"
"111153555";"118601475";111153555;"16-04-2017 19:00:35";"30175";"No Cancelado"
"111153467";"118601479";111153467;"16-04-2017 19:00:35";"24440";"No Cancelado"
"111153420";"118601486";111153420;"16-04-2017 19:00:36";"22593";"No Cancelado"
"111153470";"118601493";111153470;"16-04-2017 19:00:36";"24145";"No Cancelado"
"111153446";"118601502";111153446;"16-04-2017 19:00:36";"30997";"No Cancelado"
"111151777";"118601020";111151777;"16-04-2017 17:00:23";"24440";"No Cancelado"
"111154092";"118601602";111154092;"16-04-2017 20:00:17";"30997";"No Cancelado"
"111152477";"118600866";111152477;"16-04-2017 16:00:19";"24440";"No Cancelado"
"111152393";"118600924";111152393;"16-04-2017 17:00:20";"32644";"No Cancelado"
"111152454";"118600958";111152454;"16-04-2017 17:00:20";"32644";"No Cancelado"
"111151876";"118600689";111151876;"16-04-2017 13:00:47";"32484";"No Cancelado"
"111151951";"118600731";111151951;"16-04-2017 14:00:19";"23825";"No Cancelado"
"111151954";"118600734";111151954;"16-04-2017 14:00:19";"30175";"No Cancelado"
"111153161";"118601368";111153161;"16-04-2017 18:00:25";"28959";"No Cancelado"
"111152313";"118600823";111152313;"16-04-2017 15:00:32";"34160";"No Cancelado"
"111152172";"118600829";111152172;"16-04-2017 15:00:32";"24145";"No Cancelado"
"111152561";"118600875";111152561;"16-04-2017 16:00:19";"22593";"No Cancelado"
"111151572";"118600506";111151572;"16-04-2017 11:39:58";"32664";"No Cancelado"
"111151581";"118600530";111151581;"16-04-2017 12:00:18";"32664";"No Cancelado"
"111152901";"118600946";111152901;"16-04-2017 17:00:20";"24440";"No Cancelado"
"111152644";"118600936";111152644;"16-04-2017 17:00:20";"24440";"No Cancelado"
"111152660";"118600949";111152660;"16-04-2017 17:00:20";"22593";"No Cancelado"
"111152669";"118600961";111152669;"16-04-2017 17:00:20";"32664";"No Cancelado"
"111152754";"118601008";111152754;"16-04-2017 17:00:23";"24440";"No Cancelado"
"111152747";"118601004";111152747;"16-04-2017 17:00:23";"32753";"No Cancelado"
"111152344";"118601018";111152344;"16-04-2017 17:00:23";"24440";"No Cancelado"
"111151556";"118601021";111151556;"16-04-2017 17:00:23";"32446";"No Cancelado"
"111153300";"118601360";111153300;"16-04-2017 18:00:25";"21588";"No Cancelado"
"111154405";"118602015";111154405;"16-04-2017 21:01:05";"32484";"No Cancelado"
"111153066";"118601361";111153066;"16-04-2017 18:00:25";"28959";"No Cancelado"
"111153024";"118601366";111153024;"16-04-2017 18:00:25";"32926";"No Cancelado"
"111153769";"118602130";111153769;"16-04-2017 22:00:24";"21367";"No Cancelado"
"111152427";"118600927";111152427;"16-04-2017 17:00:20";"22593";"No Cancelado"
"111151915";"118600938";111151915;"16-04-2017 17:00:20";"32446";"No Cancelado"
"111153804";"118601587";111153804;"16-04-2017 20:00:17";"34160";"No Cancelado"
"111153296";"118602141";111153296;"16-04-2017 22:00:24";"32644";"No Cancelado"
"111153548";"118602142";111153548;"16-04-2017 22:00:24";"21367";"No Cancelado"
"111153702";"118601473";111153702;"16-04-2017 19:00:35";"24440";"No Cancelado"
"111153452";"118601483";111153452;"16-04-2017 19:00:36";"32644";"No Cancelado"
"111153591";"118601499";111153591;"16-04-2017 19:00:36";"32664";"No Cancelado"
"111152451";"118600879";111152451;"16-04-2017 16:00:19";"34531";"No Cancelado"
"111153722";"118601595";111153722;"16-04-2017 20:00:17";"34160";"No Cancelado"
"111152691";"118600955";111152691;"16-04-2017 17:00:20";"21367";"No Cancelado"
"111152943";"118600962";111152943;"16-04-2017 17:00:20";"24374";"No Cancelado"
"111152687";"118600964";111152687;"16-04-2017 17:00:20";"30175";"No Cancelado"
"111153386";"118602195";111153386;"16-04-2017 22:00:26";"32644";"No Cancelado"
"111153109";"118602196";111153109;"16-04-2017 22:00:26";"32644";"No Cancelado"
"111151122";"118600400";111151122;"16-04-2017 08:00:20";"30175";"No Cancelado"
"111152319";"118600984";111152319;"16-04-2017 17:00:22";"21367";"No Cancelado"
"111151778";"118601025";111151778;"16-04-2017 17:00:23";"24440";"No Cancelado"
"111152791";"118601027";111152791;"16-04-2017 17:00:23";"22593";"No Cancelado"
"111152812";"118601030";111152812;"16-04-2017 17:00:23";"22593";"No Cancelado"
"111154403";"118602013";111154403;"16-04-2017 21:01:05";"32664";"No Cancelado"
"111154487";"118602071";111154487;"16-04-2017 22:00:22";"24440";"No Cancelado"
"111151511";"118600536";111151511;"16-04-2017 12:00:18";"24145";"No Cancelado"
"111151371";"118600471";111151371;"16-04-2017 10:00:25";"32681";"No Cancelado"
"111151493";"118600545";111151493;"16-04-2017 12:00:18";"24145";"No Cancelado"
"111152099";"118600738";111152099;"16-04-2017 14:00:19";"32664";"No Cancelado"
"111152161";"118600928";111152161;"16-04-2017 17:00:20";"32644";"No Cancelado"
"111152917";"118600941";111152917;"16-04-2017 17:00:20";"32446";"No Cancelado"
"111152227";"118600981";111152227;"16-04-2017 17:00:22";"32644";"No Cancelado"
"111152506";"118600985";111152506;"16-04-2017 17:00:22";"24374";"No Cancelado"
"111152755";"118601002";111152755;"16-04-2017 17:00:23";"24440";"No Cancelado"
"111152355";"118601022";111152355;"16-04-2017 17:00:23";"24374";"No Cancelado"
"111151573";"118600535";111151573;"16-04-2017 12:00:18";"24440";"No Cancelado"
"111151766";"118600994";111151766;"16-04-2017 17:00:23";"22593";"No Cancelado"
"111151835";"118601024";111151835;"16-04-2017 17:00:23";"24440";"No Cancelado"
"111152573";"118600990";111152573;"16-04-2017 17:00:22";"24374";"No Cancelado"
"111152230";"118600815";111152230;"16-04-2017 15:00:32";"24145";"No Cancelado"
"111152194";"118600819";111152194;"16-04-2017 15:00:32";"24145";"No Cancelado"
"111151423";"118600473";111151423;"16-04-2017 10:08:52";"33276";"No Cancelado"
"111151721";"118600678";111151721;"16-04-2017 13:00:47";"24549";"No Cancelado"
"111152964";"118601381";111152964;"16-04-2017 18:00:25";"30175";"No Cancelado"
"111152346";"118601009";111152346;"16-04-2017 17:00:23";"21367";"No Cancelado"
"111152277";"118601031";111152277;"16-04-2017 17:00:23";"24440";"No Cancelado"
"111152367";"118601039";111152367;"16-04-2017 17:00:24";"32014";"No Cancelado"
"111151140";"118600534";111151140;"16-04-2017 12:00:18";"24374";"No Cancelado"
"111153156";"118601372";111153156;"16-04-2017 18:00:25";"24145";"No Cancelado"
"111153937";"118601582";111153937;"16-04-2017 20:00:17";"32484";"No Cancelado"
"111154102";"118601597";111154102;"16-04-2017 20:00:17";"24145";"No Cancelado"
"111152457";"118600932";111152457;"16-04-2017 17:00:20";"32644";"No Cancelado"
"111151877";"118600942";111151877;"16-04-2017 17:00:20";"24440";"No Cancelado"
"111152705";"118600957";111152705;"16-04-2017 17:00:20";"24440";"No Cancelado"
"111152695";"118600968";111152695;"16-04-2017 17:00:20";"24247";"No Cancelado"
"111151697";"118600977";111151697;"16-04-2017 17:00:21";"21367";"No Cancelado"
"111152779";"118600996";111152779;"16-04-2017 17:00:23";"24145";"No Cancelado"
"111153971";"118601603";111153971;"16-04-2017 20:00:17";"22593";"No Cancelado"
"111152605";"118601029";111152605;"16-04-2017 17:00:23";"24374";"No Cancelado"
"111152254";"118601032";111152254;"16-04-2017 17:00:23";"24440";"No Cancelado"
"111152874";"118601033";111152874;"16-04-2017 17:00:24";"24374";"No Cancelado"
"111154217";"118602020";111154217;"16-04-2017 21:01:05";"24145";"No Cancelado"
"111153112";"118601359";111153112;"16-04-2017 18:00:25";"21367";"No Cancelado"
"111154338";"118602136";111154338;"16-04-2017 22:00:24";"21367";"No Cancelado"
"111154055";"118602167";111154055;"16-04-2017 22:00:25";"21367";"No Cancelado"
"111153977";"118602103";111153977;"16-04-2017 22:00:23";"24374";"No Cancelado"
"111154499";"118602104";111154499;"16-04-2017 22:00:23";"32664";"No Cancelado"
"111154126";"118601585";111154126;"16-04-2017 20:00:17";"24145";"No Cancelado"
"111153825";"118602146";111153825;"16-04-2017 22:00:25";"24549";"No Cancelado"
"111153054";"118602164";111153054;"16-04-2017 22:00:25";"24374";"No Cancelado"
"111153111";"118602186";111153111;"16-04-2017 22:00:25";"24374";"No Cancelado"
"111153151";"118602199";111153151;"16-04-2017 22:00:26";"32644";"No Cancelado"
"111150540";"118600494";111150540;"16-04-2017 11:00:32";"24145";"No Cancelado"
"111151829";"118600682";111151829;"16-04-2017 13:00:47";"24440";"No Cancelado"
"111152406";"118600869";111152406;"16-04-2017 16:00:19";"22593";"No Cancelado"
"111153103";"118601386";111153103;"16-04-2017 18:00:26";"32664";"No Cancelado"
"111153437";"118601480";111153437;"16-04-2017 19:00:35";"32664";"No Cancelado"
